CategoryId,Name,Path,AvailableCount,TotalCount
78593,8L (1996-2003),,0,0
64557,"Kostki, bloczki samoprzylepne",,3792,3792
118766,Wzgórza Krzesławickie,,0,0
250191,Giełda i inwestycje,,41,41
62224,Wisiorki,,1476,1476
120464,Pow. jarosławski,,0,0
119081,Pow. gliwicki,,0,0
118610,Pow. nowodworski,,0,0
90105,Tła,,1497,1497
50610,Banki danych,,28,28
117306,Skrzetusko,,0,0
120182,Pozostałe,,3,3
50895,110,,0,0
86081,Serwety,,929,929
116248,Pow. zielonogórski,,1,1
113759,Pow. nowodworski,,0,0
118631,Sosnowiec,,0,0
114239,Pow. wodzisławski,,0,0
260080,Szkiełka,,29,29
14900,Pozostałe,,990,990
89510,Bluzy,,6000,81508
93536,Wielka Brytania,,19,19
121389,"Wciągarki, podnośniki",,1334,1334
259385,Pudry,,398,398
259485,Sztuka i kultura,,68,68
16229,Holdery,,643,643
260440,Stabilizatory,,1895,1895
115504,Pow. gorzowski,,0,0
132168,XPERIA E,,66,66
112815,Pow. ząbkowicki,,0,0
258370,Kremy do twarzy,,968,968
117155,Jastrzębie-Zdrój,,0,0
112910,Pow. gorlicki,,0,0
122408,Na CD,,203,203
117484,Stare Bielsko,,0,0
19286,Akcesoria serwisowe,,6000,10092
251014,Konsole,,1462,1462
47918,Barometry,,565,565
49221,CTS,,0,0
52331,Krzyżyki,,1558,1558
83734,213,,0,0
117214,Pow. olecki,,0,0
77939,Dyski zewnętrzne i przenośne,,6000,7888
257197,Odkurzacze wodne i piorące,,2499,2499
115416,Opolskie,,2,2
8727,Jachty motorowe,,96,96
16484,Szosowe,,2231,2231
63807,Wibratory,,6000,134545
259663,Napełniacze do oleju,,116,116
53632,Włochy,,182,182
10236,Łódź i okolice,,2497,2497
259500,Masy antystresowe,,1157,1157
116357,Pow. dębicki,,0,0
55742,Biżuteria patriotyczna,,332,332
258973,Meble na wymiar,,117,117
119797,Siemianowice Śląskie,,1,1
117888,Jastrzębie-Zdrój,,0,0
112713,Blaty,,2663,2663
118798,Pomorskie,,3,3
118509,Pow. gostyniński,,0,0
64491,Nożyczki,,1365,1365
112818,Bydgoszcz,,0,0
258026,BV6000,,36,36
119635,Pow. piotrkowski,,1,1
146543,Uszczelki szyb,,6000,8941
115604,Opole,,1,1
120147,Rząsawy,,0,0
122314,Słuchawki dedykowane,,2,2
