CategoryId,Name,AvailableCount,TotalCount
18403,II (1989-1996),0,0
541,Zegary,6000,176628
255099,Lampy przednie,6000,283738
122277,Eye Toy,10,10
120900,Pow. sierpecki,0,0
8785,Kamery,6000,63340
120323,Pow. bialski,0,0
250177,Horror,149,149
93159,Marynarka Wojenna,1914,1914
13714,Kluby polskie,1182,1182
113744,Pow. wysokomazowiecki,0,0
115217,Nowe Miasto,0,0
91471,Horrory,5898,5898
120075,Osowa,0,0
20615,Seriale,37,37
260046,Rejestratory i grabbery,354,354
93175,Juke,82,82
110615,Jednorazowe,71,71
116047,Bojków,0,0
91249,Repetytoria,975,975
91894,Niderlandzka,479,479
120239,Pogodno,0,0
257539,Stinger,2,2
254998,Rowery,184,184
110589,Aparaty analogowe,3419,3419
119874,Pow. obornicki,0,0
119727,Pow. brzozowski,0,0
111865,Ogrzewanie,6000,132528
259810,Lampki biurkowe,6000,14111
119654,Pow. krakowski,2,2
119967,Kalinowszczyzna,0,0
118344,Wielgowo,0,0
113688,Pow. wyszkowski,0,0
18391,II (2004-2013),221,221
113922,Ochota,0,0
111636,Dodatki damskie,6000,12791
12469,Xsara,17,17
115855,Bronowice,0,0
114889,Pow. kolbuszowski,0,0
259458,Laboratorium,6000,10611
254605,Rygle,3735,3735
14819,Rosja do 1923,269,269
119595,Pow. lubartowski,0,0
123782,Tonery,6000,387782
115931,Drabinianka,0,0
116717,Kamienna Góra,0,0
120806,Pow. tomaszowski,0,0
16483,MTB (górskie),6000,9121
253971,Kajdanki,418,418
118110,Brwinów,0,0
125209,920 Lumia,41,41
113578,Pow. lubelski,2,2
251018,Skrzynie,1125,1125
114583,Stare Gliwice,0,0
118273,Ochojec,0,0
121484,"Wzorniki, szablony",4,4
259982,Onyksy,536,536
110737,K13 (2010-2016),38,38
120657,Grzegórzki,1,1
353,Etui i pokrowce,6000,4485965
89750,Europa,6000,8122
90861,"Medytacja, joga",2313,2313
118622,Gliwice,0,0
67249,Generatory,167,167
90219,Obiektywy,1274,1274
12700,Supra,1,1
18252,W203 (2000-2007),85,85
253564,Dywaniki gumowe,6000,278726
27878,GT,14,14
257216,Neffos X1 Max,28,28
116726,Wielki Kack,0,0
118270,Kostuchna,0,0
122336,Podwójne,29,29
258653,Strategiczne,101,101
120648,Psie Pole,0,0
115242,Chwarzno,0,0
118953,Pow. legionowski,0,0
257764,Nici dentystyczne,1446,1446
62518,Rumunia,0,0
14168,300 mm ,1084,1084
19916,Drewniaki,1594,1594
105383,Latitude,3,3
259701,Prostownice,753,753
257379,Akcesoria,121,121
114927,Pow. chojnicki,1,1
253916,Tuning,2356,2356
10355,Niemcy,1318,1318
79495,HTC Desire,62,62
67245,Filtry,99,99
114885,Pow. brzozowski,1,1
257459,Zestawy,190,190
146811,W245 (2005-2011),48,48
18167,Mk1 (1993-1996),2,2
260471,Wariatory,6000,12674
12844,Zestawy,47,47
147545,Religijne,323,323
1116,Guziki wojskowe,585,585
12661,900,4,4
3589,skala 1:350 i 1:400,664,664
146524,2005,3,3
68719,Tasaki,248,248
62510,Holandia,0,0
4047,Renault,1473,1473
116818,Klimontów,0,0
93116,Azja,3985,3985
257402,Anteny,1023,1023
50887,Tarcze,6000,6786
112903,Kraków,0,0
12420,156,18,18
90341,Ekonomia,6000,23765
18080,E12 (1972-1981),1,1
45752,Tibia,1064,1064
256465,Papier,4,4
259388,Szczotki i grzebienie,6000,6832
118767,Zwierzyniec,0,0
119247,Wrotków,0,0
50459,Rosja i ZSRR,79,79
89319,Getry,1284,1284
119277,Wola,0,0
255646,Wieszaki,4226,4226
120301,Pow. brodnicki,0,0
253848,X5 M,13,13
119789,Gliwice,4,4
53676,Puszki,55,55
117217,Pow. piski,0,0
257457,Pompki,2107,2107
258712,Donice,1444,1444
91483,Naukowe i popularnonaukowe,6000,411309
118878,Pow. tomaszowski,0,0
147152,1520 Lumia,41,41
26929,H0 - 1:87,2349,2349
255085,Paralizatory,63,63
117609,Wielgowo,0,0
90845,"Prace domowe, prowadzenie domu",993,993
120007,Góra Kalwaria,1,1
253260,Niewidzialne wycieraczki,1197,1197
117404,Przybyszówka,0,0
64570,Falcerki,12,12
253313,Konserwacja podwozia,3734,3734
119873,Pow. nowotomyski,0,0
116555,Stare Miasto,0,0
117694,Pow. lubelski,0,0
116564,Fordon,0,0
112781,Podlaskie,0,0
76334,Akcesoria,1264,1264
12962,Lizardmen,68,68
253613,"Uchwyty, wieszaki",6000,10125
12723,Seria 200,0,0
114021,Pow. opolski,0,0
116607,Górna,1,1
260525,"Maski, serum do stóp",208,208
99362,Butelki i akcesoria,6000,22318
75534,Curve 8520,24,24
115193,Zakrzów,0,0
115706,Pow. myszkowski,2,2
257125,Crossland X,3,3
117713,Pow. strzelecko-drezdenecki,0,0
1495,Szaliki i szale,6000,36480
260252,Suszarki i ociekacze,4353,4353
98318,Wieczór kawalerski,6000,26346
67095,Akcesoria,6000,14930
120135,Szombierki,0,0
3707,do 1939,289,289
145200,F-Type,3,3
256075,X3 Soul Style,0,0
63818,Gorsety,6000,12788
252972,Abonamenty,6,6
113259,Wilanów,0,0
8993,Kino domowe,4739,4739
260299,Akcesoria,809,809
259625,Pompki,388,388
93573,Jixin,23,23
145180,F430,0,0
93574,Brio,409,409
26317,Wazy,265,265
259921,III (2018-),0,0
99485,Plecaki przedszkolne,6000,13761
253310,Zestawy naprawcze,134,134
116029,Szombierki,0,0
255982,Literatura erotyczna,4273,4273
62537,Egipt,0,0
122237,Nintendo Game Boy,187,187
118072,Wieniawka,0,0
49263,Element,0,0
249961,I (1997-2003),1,1
62594,Czechy,0,0
4725,Szeregowe RS,411,411
256467,Skóra,13,13
132155,CR2450,257,257
117243,Pow. pleszewski,0,0
57997,Bentley,1,1
120918,Pow. nyski,0,0
18075,E21 (1975-1982),6,6
258692,Silniki dmuchaw,6000,6850
121105,Pow. policki,0,0
147923,Bagnety,6000,11418
116288,Pow. nowotarski,0,0
57991,Seria E15 (2007-2013),16,16
12739,CL,18,18
3687,Katalogi aukcyjne,153,153
111793,Plastyka,748,748
16030,YoYo,136,136
253846,E84 (2009-2015),64,64
147543,Kraniki,4581,4581
252310,Spodnie,1911,1911
252952,Opryskiwanie,45,45
120216,Wilda,1,1
119098,Pow. konecki,0,0
10277,Rzeszów i okolice,422,422
119772,Pow. kartuski,1,1
100097,Koncerty,6000,28505
4569,Pady,2688,2688
118034,Górzyskowo,0,0
250198,Psychologia biznesu,54,54
12648,Safrane,1,1
110677,Baterie,1927,1927
120872,Siedlce,0,0
9613,1901 - 1945,5206,5206
120931,Pow. jasielski,0,0
116159,Zachodniopomorskie,4,4
119586,Lublin,2,2
255913,Sterowniki,1742,1742
257493,Patyczki,1532,1532
4801,Klawiatury,1512,1512
146652,I (2006-2012),64,64
76369,Adaptery,1946,1946
120321,Lublin,1,1
19411,Interaktywne,6000,26979
259862,Caramballa,3,3
106892,ASX,41,41
259503,Stetoskopy,1166,1166
78605,B6 (2000-2004),2,2
93704,Nauka i zabawa,6000,61618
115204,Szajerówka,0,0
259981,Malachity,181,181
260181,iTunes,30,30
57983,Kyron,7,7
19659,HMB,698,698
118749,Inne,0,0
115872,Polesie,0,0
114958,Tychy,0,0
121642,"Oliwy i oleje, sosy",4869,4869
77755,Plomby i stickery,438,438
120940,Pow. przemyski,0,0
110944,Zaparzacze i kawiarki,6000,9408
121413,Guzikarki,29,29
12961,High Elves,121,121
259920,IV (2018-),0,0
27883,D (2006-2014),128,128
258614,Towarzyskie,4,4
148767,L90,12,12
116327,Pow. siedlecki,0,0
122819,Tamburyna,360,360
12536,Elantra,2,2
118460,Pow. kutnowski,0,0
259806,Szczotki szlifierskie,316,316
251979,Virgin Mobile,303,303
259433,Telefony USB i VoIP,88,88
64505,Tusze,1163,1163
113332,Oliwa,1,1
91239,Rozmówki,1597,1597
26128,Polityka,428,428
119836,Pow. bartoszycki,0,0
122257,Nintendo DS,622,622
62619,Brazylia,0,0
99491,Spinki,3530,3530
119983,Krowodrza,1,1
252894,Kadjar,29,29
258830,Tlen inhalacyjny,55,55
253609,Torby i organizery,2886,2886
120527,Katowice,0,0
110749,Q3,35,35
114540,Mikuszowice Krakowskie,0,0
62522,Ukraina,0,0
114876,Pow. oleski,0,0
19013,Ramy,5408,5408
249713,Ghibli,2,2
117627,Wielkopolskie,0,0
74258,Zasilanie,7,7
77926,Stare komputery,3161,3161
115911,Radzymin,0,0
114121,Pow. sierpecki,1,1
116310,Pow. lipski,0,0
118295,Zagórze,0,0
120793,Pow. janowski,0,0
93869,Film,593,593
117003,Pow. rawski,0,0
90220,Obudowy,956,956
114506,Chwarzno,1,1
114084,Pow. proszowicki,0,0
76382,D (R20),343,343
90397,Polityka gospodarcza,973,973
90229,Telekonwertery,295,295
76041,Golfy,3911,3911
120236,Pilchowo,0,0
121113,Krzyki,0,0
122268,Konsole,97,97
122333,CD-playery dla DJ-ów,454,454
112303,Akcesoria,6000,18851
120789,Pow. bialski,0,0
250104,"Kultura, sztuka, rozrywka",3274,3274
93161,Kampanie i bitwy,5822,5822
115922,Malina,0,0
12597,Terrano,5,5
260000,Rurki intubacyjne,202,202
93805,Uganda,70,70
91111,Polityczny,6000,9305
18159,Mk1 (1977-1983),0,0
93812,Birma,140,140
122560,Skutery inwalidzkie,566,566
120968,Sopot,0,0
90886,"Ciasta, desery",4086,4086
